,IATA Code,Airport Name,Latitude Decimal Degrees,Longitude Decimal Degrees,City
1058,FTK,GODMAN AAF,37.907,-85.972,fort knox
1059,FTW,FORT WORTH MEACHAM INTERNATIONAL,32.82,-97.362,fort worth
1060,FXE,FORT LAUDERDALE EXECUTIVE,26.197,-80.171,fort lauderdale
1061,FYV,DRAKE FLD,36.005,-94.17,fayetteville
1062,GAG,GAGE,36.295,-99.776,gage
1063,GCK,GARDEN CITY RGNL,37.927,-100.724,garden city
1064,GEG,SPOKANE INTERNATIONAL,47.62,-117.534,spokane
1065,GFK,GRAND FORKS INTERNATIONAL,47.949,-97.176,grand forks
1066,GGG,EAST TEXAS RGNL,32.385,-94.711,longview
1067,GLS,SCHOLES INTERNATIONAL AT GALVESTON,29.265,-94.86,galveston
1068,GNT,GRANTS MILAN MUNI,35.165,-107.901,grants
1069,GNV,GAINESVILLE RGNL,29.69,-82.272,gainesville
1070,GRB,AUSTIN STRAUBEL INTERNATIONAL,44.485,-88.129,green bay
1071,GRF,GRAY AAF,47.079,-122.581,fort lewis
1072,GRK,ROBERT GRAY AAF,31.067,-97.829,killeen
1073,GRR,GERALD R FORD INTERNATIONAL,42.881,-85.523,grand rapids
1074,GSB,SEYMOUR JOHNSON AFB,35.339,-77.961,goldsboro
1075,GTB,WHEELER SACK AAF,44.056,-75.719,fort drum
1076,GTF,GREAT FALLS INTERNATIONAL,47.482,-111.371,great falls
1077,GUS,GRISSOM ARB,40.648,-86.152,peru
1078,GVT,MAJORS,33.068,-96.065,greenvile
1079,GVW,RICHARDS GEBAUR MEMORIAL,38.843,-94.561,grandview
1080,GWO,GREENWOOD LEFLORE,33.494,-90.084,greenwood
1081,HBR,HOBART MUNI,34.991,-99.051,hobart
1082,HFD,HARTFORD BRAINARD,41.736,-72.65,hartford
1083,HHR,JACK NORTHROP FLD HAWTHORNE MUNI,33.923,-118.335,hawthorne
1084,HIB,CHISHOLM HIBBING,47.386,-92.839,hibbing
1085,HIF,HILL AFB,41.124,-111.973,ogden
1086,HKY,HICKORY RGNL,35.741,-81.389,hickory
1087,HLN,HELENA RGNL,46.607,-111.983,helena
1088,HLR,HOOD AAF,31.139,-97.714,fort hood
